month,day_of_week,is_weekend,channel_Facebook,channel_Google Ads,channel_Instagram,channel_LinkedIn,channel_Twitter,channel_Website,campaign_Best Sellers,campaign_Exclusive Offers,campaign_Flash Sale,campaign_Limited Edition,campaign_Must-Haves,campaign_New Arrivals,campaign_Trending Now,cost_scaled,revenue
11,2,0,True,False,False,False,False,False,True,False,False,False,False,False,False,0.5831418509655004,136591.81296131175
11,2,0,True,False,False,False,False,False,False,True,False,False,False,False,False,0.6356267468417993,142821.77945310835
11,2,0,True,False,False,False,False,False,False,False,True,False,False,False,False,0.6599569054480533,217096.0090552625
11,2,0,True,False,False,False,False,False,False,False,False,True,False,False,False,0.18343455245767792,74248.43486655927
11,2,0,True,False,False,False,False,False,False,False,False,False,True,False,False,0.8263504003141853,282509.8398179371
11,2,0,True,False,False,False,False,False,False,False,False,False,False,True,False,0.11422252968821499,109757.63886164942
11,2,0,True,False,False,False,False,False,False,False,False,False,False,False,True,-0.35338450903071994,165074.12221214542
11,3,0,True,False,False,False,False,False,True,False,False,False,False,False,False,0.12487832414861326,91667.71814167911
11,3,0,True,False,False,False,False,False,False,True,False,False,False,False,False,-0.19769479788589936,133078.20320933216
11,3,0,True,False,False,False,False,False,False,False,True,False,False,False,False,-0.10719429721808914,104563.299217959
11,3,0,True,False,False,False,False,False,False,False,False,True,False,False,False,-0.09612907883810405,37519.51242470972
11,3,0,True,False,False,False,False,False,False,False,False,False,True,False,False,-0.05086276165633631,73871.08135362402
11,3,0,True,False,False,False,False,False,False,False,False,False,False,True,False,-0.6661680155146555,33031.195432861634
11,3,0,True,False,False,False,False,False,False,False,False,False,False,False,True,-0.5561285645416063,48526.22709175583
11,4,0,True,False,False,False,False,False,True,False,False,False,False,False,False,1.3707430563975838,296416.1309341887
11,4,0,True,False,False,False,False,False,False,True,False,False,False,False,False,-0.8514518472559133,31572.36697829564
11,4,0,True,False,False,False,False,False,False,False,True,False,False,False,False,1.0001775690425698,323776.3190070473
11,4,0,True,False,False,False,False,False,False,False,False,True,False,False,False,0.6036892132884223,156505.63766515278
11,4,0,True,False,False,False,False,False,False,False,False,False,True,False,False,0.321106795379746,95558.39077420488
11,4,0,True,False,False,False,False,False,False,False,False,False,False,True,False,0.47072982543953973,220018.21727081388
11,4,0,True,False,False,False,False,False,False,False,False,False,False,False,True,-0.7811677938366915,43624.34743437116
11,5,1,True,False,False,False,False,False,True,False,False,False,False,False,False,1.6412472974834256,92052.80459236914
11,5,1,True,False,False,False,False,False,False,True,False,False,False,False,False,0.9412925477758328,76054.86578839013
11,5,1,True,False,False,False,False,False,False,False,True,False,False,False,False,0.9034956887657005,173181.21511253878
11,5,1,True,False,False,False,False,False,False,False,False,True,False,False,False,-0.045070275600355966,77593.96379419444
11,5,1,True,False,False,False,False,False,False,False,False,False,True,False,False,0.8533143452314743,83311.45647668064
11,5,1,True,False,False,False,False,False,False,False,False,False,False,True,False,0.826833857425853,48205.13931310146
11,5,1,True,False,False,False,False,False,False,False,False,False,False,False,True,1.627886121340621,83953.23270026538
11,6,1,True,False,False,False,False,False,True,False,False,False,False,False,False,0.5002127717524029,138055.77116667916
11,6,1,True,False,False,False,False,False,False,True,False,False,False,False,False,0.44934768309550327,52726.87757887467
11,6,1,True,False,False,False,False,False,False,False,True,False,False,False,False,1.3144026440743026,64327.20629360305
11,6,1,True,False,False,False,False,False,False,False,False,True,False,False,False,-0.29766291770754144,43316.43378725793
11,6,1,True,False,False,False,False,False,False,False,False,False,True,False,False,0.7547878291424547,78989.9903781829
11,6,1,True,False,False,False,False,False,False,False,False,False,False,True,False,0.4382515397358162,122776.07276191936
11,6,1,True,False,False,False,False,False,False,False,False,False,False,False,True,0.47865142581079845,117393.7801542784
11,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,0.3581477345523017,48733.29358594991
11,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0839101396534795,111837.3147699848
11,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,0.24755320762255228,154577.59028824812
11,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,0.17272554445021834,136595.50870251184
11,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,0.7101733878724924,84780.29103227549
11,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,-0.0177433535499787,94557.29712256302
11,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,0.6152713041486039,157536.0103164115
11,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,1.6441853904126107,250530.47749448213
11,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,-0.2322293361911808,38201.98542177369
11,1,0,True,False,False,False,False,False,False,False,True,False,False,False,False,0.4171818791546048,103540.59582243556
11,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,0.6209823213369349,63208.61314551604
11,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,0.7681136383082221,142196.8298211085
11,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,0.7945835613485647,60691.9685254966
